Job ID,Job Link,Resume Tried,Date listed,Date Tried,Assumed Reason,Stack Trace,External Job link,Screenshot Name
4393407337,https://www.linkedin.com/jobs/view/4393407337,Previous resume,2026-04-02 12:04:06.329071,2026-04-02 12:33:11.584946,Problem in Easy Applying,Easy Apply modal did not open,Easy Applied,Not Available
4393035642,https://www.linkedin.com/jobs/view/4393035642,Pending,2026-04-02 01:33:21.238390,2026-04-02 12:33:21.276264,Found a Bad Word in About Job,"
About the job
Location: Melton (Hybrid)

Salary: Up to £50,000

Working hours:09:00 – 17:30

The purpose of this role is to solve complex business problems and technical challenges through the design and development of software applications and services. This role will contribute directly towards exciting technology opportunities in the public health sector; specifically in general practice.

You will be responsible for building and maintaining critical components of our software infrastructure, ensuring high performance, reliability, and security. This role sits within the platform team.

Responsibilities

Design and Development

Contribute towards the design, develop, and implement high-performance, scalable, and maintainable applications and services
Develop APIs and other web services
Work with databases (relational and NoSQL) to implement data models
Contribute towards all phases of the software development lifecycle, from design and development through to testing, deployment and monitoring & alerting

Technical Leadership

Assist and unblock other members of the team where appropriate
Conduct code reviews and provide constructive feedback
Contribute towards the development of software engineering best practices and principles
Participate in architectural and design discussions
Stay abreast of the latest technologies and industry trends

Problem-Solving

Assist with the diagnosis and assessment of complex technical issues
Identify and contribute towards solutions designed to improve service or component security, performance, scalability, and reliability

Collaboration

Work closely with frontend engineers, product managers, and other stakeholders
Share ideas and prompt continuous improvement across the team

Quality Assurance & Compliance

Write unit tests and integration tests to ensure code quality
Participate in code reviews and ensure adherence to coding standards
Comply with the company's Health & Safety, Data Protection, Information Security, PCI & DSP policies and procedures.

Essential

Skills Required

Knowledge of the product development lifecycle
Considerable working experience with modern PHP including frameworks (e.g. Laravel)
Source control (e.g. GitLab)
Working experience with structured and unstructured databases (e.g. MySQL)
Knowledge of or working experience with Message Queues (RabbitMQ) & event driven architecture
Strong knowledge of software design patterns and object-oriented design principles
Working experience of unit test frameworks and test automation

Desired

Strong expertise in Agile methodologies (e.g. Scrum / Kanban)
DevOps tooling
Node.js
Healthcare industry experience (NHS)
VOIP call handling

Benefits

25 Days Holiday plus an additional day for your birthday/equivalent
Cycle to Work Scheme
Winter Flu Jabs
Free On-Site Parking
Learning and development budget with Professional Qualification Support
£1,000 employee referral bonus
Social benefits (paid social events)
Buy Holiday Scheme
Employee Assistance Program
Discount on Health Insurance
Annual Salary Review
Enhanced Company Sick Pay
Monthly pizza in the office (Hybrid employees) / coffee voucher (Remote employees)
SCG mobile benefit

SCG is proud to be an equal opportunities employer.

 We welcome applications from all parts of the community and are committed to upholding the principles of the Equality Act 2010.

We are committed to supporting applicants with disabilities. We will endeavour to make necessary adjustments to ensure a fair and accessible recruitment process

Contains bad word ""PHP"". Skipping this job!
",Skipped,Not Available
4390749220,https://www.linkedin.com/jobs/view/4390749220,Pending,2026-03-27 12:33:25.346490,2026-04-02 12:33:25.379380,Required experience is high,"
About the job
Insighture is a leading technology consultancy that drives digital transformation for businesses worldwide. With a team of over 85 expert consultants, the company delivers tailored, high-impact strategies and solutions, enabling scalable product engineering. As an AWS partner, Insighture excels in co-integrated cloud services. It has collaborated with more than 50 clients globally, guiding them through cloud adoption, DevOps transformation, enterprise modernisation, and more.

The team’s expertise spans Cloud-Native Development, Solutions Architecture, UI/UX, Quality Engineering, Data Engineering, AI/ML, and DevSecOps. These capabilities empower businesses to achieve impactful and innovative outcomes.

In 2024, Insighture achieved ISO certification and was recognised as a Great Place to Work, earning three prestigious awards: Best Workplace in Sri Lanka, Best Workplace for Technology, and Best Workplace for Young People. Insighture's technology and expertise are embedded in the work of internationally recognised care providers, global freight operations, child protection systems, and health tech platforms across Australia, the UK, and Singapore.

We are seeking a highly experienced Unix Engineer for a 6 months contract to join our growing team.

Requirements
Minimum 7+ years of experience in Unix engineering.
Bachelor’s Degree from an accredited US college or university and should have Cumulative or major GPA of 3.0 or higher.
Desired Program of Studies : Computer Science, Computer Engineering, Software Engineering, Management Information Systems.

Responsibilities
The Solutions Engineer will Conceptualise, plan and execute Customer Showcases.
Deliver showcases and conduct workshops for various stakeholders from client teams.
Collaborate and work closely with Retail, Banking & Finance, Manufacturing & Tech, Communications, and Healthcare Business Units to map out agendas and visit flows.
Drive SVIC walk-through aligned to profile of the customer and the industry.
Evangelise Innovation showcases featuring AI, AR, VR, and IoT Skills and competencies
A strong team player who is comfortable with ambiguity and able to adapt quickly to a startup-like working environment.
A technologist with a good understanding of technology trends in the industry and ability to visualise and articulate the future of technology.
Strategic Business Perspective: consultative approach to understand the industry, customer business, and the market place.
Excellent communication and presentation skills, must have the ability to connect with C-Level leadership.
Demonstrate and appreciate curiosity through domain and technology expertise.

Experience required 7 > Current Experience 5. Skipping this job!
",Skipped,Not Available
4394393533,https://www.linkedin.com/jobs/view/4394393533,Pending,2026-04-01 14:33:29.495167,2026-04-02 12:33:29.533041,Found a Bad Word in About Job,"
About the job
Salary $77,000 - $90,000 plus Super 
Full Time Employment

About Quantaco

Hospitality moves fast the tools should keep up too. At Quantaco, we’re building technology that empowers hospitality businesses to work smarter, not harder. No more disconnected systems that slow you down and create extra work.

Australia’s only locally owned and operated Hospitality Management System, designed to simplify processes, save time, and deliver actionable insights for venues of any size.

Our suite of software and service solutions is optimised to work best together but designed to function independently, delivering the actionable insights and financial reporting pubs, clubs, and restaurants need to thrive.

We empower businesses through expert accounting services, real-time reporting, and connected hospitality operations tools. These tools simplify work, save time, and help venues make decisions that drive growth whether it’s one venue or one hundred.

About The Role

The primary purpose of the Software Developer is to manage the design, installation, testing and maintenance of software systems for our Cooking the Books (CTB) design suite.

This role will be responsible for excellent technical support and the development of software improvements for existing CTB programs or providing entirely new programs for release to the market.

What You’ll Do

Maintain and improve the performance of CTB’s existing software and maintain its’ websites, in-house hardware and network systems

Test, maintain and recommend software improvements to ensure strong functionality and optimisation

Review current systems and identify ideas to improve system performance and impact availability, including cost proposals

Facilitate root cause analysis of system issues and faults;

Resolve complex technical design issues;

Test new products or software improvement releases in a controlled environment before going live;

Proactively seek to continuously understand the design characteristics offered by key competitors; developing design concepts that surpass competitors;

Work closely with analysts, designers and staff to ensure programs operate effectively;

Assist with the preparation of training manuals for users;

Analyse user requirements and convert requirements to design documents;

Provide comprehensive support to internal customers, including achieving resolution to outstanding problems or issues;

Develop and implement new software;

Assist the Marketing department with preparation of digital design collateral in line with CTB’s brand guidelines;

Automate repetitive technical tasks

About You

You are organised and a fast learner

You have a mature, design-led approach to software development

Integrity, honesty, trust, and respect

Self-motivated, but you love working in a team

Innovative and always looking for ways to improve

You’re an effective communicator, patient, and able to explain your point of view

Have a degree in Computer Science or equivalent

Have 2+ years’ experience in C# and.Net Framework;

Possess strong technical knowledge of web technologies (Javascript, CSS, HTML, etc.);

Are proficient in C#, ASP.NET MVC and Web API

Have knowledge of ASP.NET Core, ADO.net and ORMs (EntityFramework, Dapper.net, NHibernate)

Have knowledge of Databases: SQL Server, PostgreSQL (Store Procedures, and NoSql: Redis and MongoGB)

Are proficient in JavaScript frameworks: AngularJs, VueJs, and ExtJs

Possess knowledge of Microsoft Azure cloud platform (App Service, Service Bus, Service Fabric)

Have experience with Source Code Control: SVN and GIT

Have a demonstrated understanding of projects from the perspective of both client and busines

Possess proficient verbal and written communication skills;

Have effective time management skills and the ability to meet deadlines

Have the ability to solve problems by being collaborative, creative and analytical

Why Join Us?

At Quantaco, we’re passionate about building technology that solves real-world problems in hospitality. Our team is collaborative, curious, and committed to making an impact and we want you to grow with us.

Reward: Competitive salary + up to 20% discretionary performance bonus
Wellbeing: Hybrid working, birthday leave, and wellness discounts through our benefits portal
Culture: Fortnightly collaboration days, social calendar, team events, peer recognition, and a strong commitment to inclusion
Growth: Study assistance, a structured development framework, and our Women at Quantaco initiative to support diverse career progression

Ready to build the future of hospitality tech?

Apply now or reach out for a confidential chat. We’d love to meet you.

Quantaco Pty Ltd, Level 4 / 6 O'Connell Street Sydney NSW 2000

Contains bad word "".NET"". Skipping this job!
",Skipped,Not Available
4393295791,https://www.linkedin.com/jobs/view/4393295791,Pending,2026-04-01 12:33:33.627033,2026-04-02 12:33:33.670887,Required experience is high,"
About the job
Who We Are

Healthcare needs a better rhythm: one that keeps care continuous and deeply human. Heidi is building an AI Care Partner that works alongside clinicians to make that possible.

We’re a team of doctors, engineers, designers, researchers, and creatives building tools that help clinicians stay focused on what matters most: their patients.

In just 18 months, Heidi has given back more than 18 million hours to healthcare professionals — supporting 73 million patient visits in 116 countries. Today, more than two million patient visits each week are powered by Heidi worldwide.

Backed by nearly $100 million in funding, we’re growing in the US, UK, Canada, and Europe, partnering with leading health systems including the NHS, Beth Israel Lahey Health, and Monash Health.

The Role

At Heidi, the Solutions Engineer plays a critical role in unlocking and accelerating new deals and expanding Heidi's footprint with existing customers by serving as the primary technical point of contact throughout the sales cycle and expansion opportunities.

You’ll work closely with Account Executives, Product, and Engineering to navigate high-stakes enterprise requirements, including EMR integrations, custom clinical and data workflows, call system integrations, and security architecture. You’ll bring technical credibility, customer empathy, and a strong sense of ownership to every opportunity.

What You’ll Do

Technical Discovery & Qualification: Lead deep technical and clinical workflow discovery with prospects across Enterprise and Mid-Market segments to uncover integration requirements, EHR dependencies, security needs, and compliance considerations. 
Solution Design: Collaborate with Product and Engineering to design tailored solutions that align Heidi's AI platform capabilities to real-world healthcare workflows and customer requirements, while staying grounded in roadmap feasibility. 
Product Demos & Technical Presentations: Deliver compelling demos and architecture walkthroughs to technical stakeholders including IT, InfoSec, and engineering teams. 
RFP & Security Review Support: Own technical responses for RFPs, security assessments, and due diligence requests with precision and attention to detail. 
Deal Acceleration & Objection Handling: Proactively surface and resolve technical concerns that slow down the sales process — acting as a trusted technical advisor to the customer on security, compliance, AI governance, and EHR integration questions. 
Post-Sales Handoff & Feedback Loop: Partner with implementation teams to ensure a smooth transition post-signature by developing structured PRDs and handoff documents and provide feedback to product and engineering from the field. 

What We’re Looking For

3–6 years of experience in customer facing technical role: Solutions Engineering, Sales Engineering, Consulting preferably in SaaS, healthcare, or enterprise software
Experience leading and owning technical and workflow discovery sessions
Comfortable with ~ 25 - 50% travel for onsite customer engagements
Working knowledge of EHR/EMR systems and healthcare integration standards: HL7, FHIR, REST APIs
Ability to synthesize complexity and communicate clearly to both technical and non-technical audiences. 
Experience supporting sales cycles with healthcare providers, health systems, or EMR vendors
Comfortable operating autonomously in a fast-paced, early-stage environment where process is still being built
A trusted partner to Sales and a credible voice in the room with technical leaders on the customer side
Bonus: Background in healthtech, startups, or regulated environments; hands-on familiarity with clinical workflow design or field deployment in healthcare settings

The way we work

 Build to Last

We design for safety and reliability so clinicians, patients, and our teams can trust what we build every day.

 Own Your Practice

Ideas rise on merit, not title, and everyone shares responsibility for the standards we set together.

 Move Fast, Stay Steady

We move quickly but never at the cost of trust. Progress only matters if people can depend on what we make.

 Make Others Better

Honest feedback, steady support, and shared growth keep our teams improving together.

Why you will flourish with us 🚀?

In office to collaborate with like-minded professionals
Healthcare, Dental, Vision benefit options
401k with 3% match
Personal development budget of $500 per annum
Become an owner, with shares (equity) in the company, if Heidi wins, we all win
The rare chance to create a global impact as you immerse yourself in one of the leading healthtech startups
The opportunity to fast track your startup career!

Heidi is dedicated to creating an equitable, inclusive, and supportive work environment that brings people together from diverse backgrounds, experiences, and perspectives. Our strength is in our differences. We're proud to be an equal opportunity employer and welcome all applicants as we're committed to promoting a culture of opportunity for all.

Compensation Range: $145K - $165K

Experience required 6 > Current Experience 5. Skipping this job!
",Skipped,Not Available
4393097721,https://www.linkedin.com/jobs/view/4393097721,Pending,2026-04-02 12:21:37.953114,2026-04-02 12:33:38.011918,Found a Bad Word in About Job,"
About the job
At NCS Australia, we are more than a technology services company—we are a team of innovators, problem-solvers, and creators shaping the future. With a strong presence across the APAC region, we partner with government and enterprise organisations to tackle complex challenges and deliver solutions that drive real, lasting impact.

 

We are passionate about unlocking value through technology. By focusing on people, committing to quality, and challenging traditional thinking, we believe technology services can be done better. Our team brings this to life by advising, transforming, and managing technology to help our clients and communities thrive.

 

We love big ideas and bold thinkers. Bring your ambition and your creativity—together, we will turn them into extraordinary opportunities. Ready to make tomorrow with us? Explore our opportunities and join a team that is redefining what’s possible.



Job Description

As a Client-Facing Software Engineer at NCS Australia, you will be at the forefront of delivering high-quality, secure software solutions for our most prominent enterprise clients. This is a practitioner-led role where you will design, build, test, and maintain complex systems across both backend and frontend technologies. You won’t just be following a spec; you will be an active participant in the architectural evolution of our clients' digital landscapes, ensuring that every solution is scalable, performant, and aligned with modern engineering standards.

 

Working within a collaborative, Agile environment, you will champion a ""quality-first"" culture. This involves integrating Test-Driven Development (TDD) and Behavior-Driven Development (BDD) into the daily workflow to ensure that the software we deliver is as resilient as it is functional. You will play a pivotal role in streamlining our delivery pipelines through Continuous Integration (CI) and automated deployment practices, helping our clients transition from legacy workflows to modern, rapid-release cycles.

 

Beyond the code, this role is about partnership and continuous improvement. You will act as a technical bridge, engaging directly with stakeholders to translate business needs into robust technical requirements. You will also serve as a mentor within the engineering community at NCS, fostering a culture of knowledge sharing through peer reviews and collaborative problem-solving. Whether you are optimizing a microservice or refining a frontend user experience, your work will directly impact the efficiency and security of national-scale digital infrastructure.



Qualifications

Technical Polyglot: You have a strong foundation in Java (Spring Boot) or C# (.NET) for backend services, complemented by experience in modern frontend frameworks like React or Angular.

Quality Advocate: You are a firm believer in TDD/BDD and don't consider a feature ""done"" until it is fully tested and integrated into a robust CI/CD pipeline.

Cloud & Modern Infra: You are comfortable working with Docker, Kubernetes, and cloud-native services within Azure or AWS environments.

Agile Mindset: You thrive in Scrum or Kanban environments and are passionate about iterative delivery, transparency, and constant feedback loops.

Client-Centric Communicator: You possess the ""consultant’s edge""—the ability to explain complex technical trade-offs to non-technical stakeholders with clarity and empathy.

Lifelong Learner: You stay ahead of the curve with emerging tech (like AI-assisted coding or serverless patterns) and enjoy mentoring others to raise the collective bar of the team.

Security Focused: You understand the importance of building software for highly regulated environments and prioritize secure coding practices at every layer of the stack.

Willing and able to obtain a AGSV Security clearance.



Additional Information

Why join us: 

NCS Australia is where you can feel at home, nurturing your talents and skills as we make tomorrow together, one day at a time. Our benefits include paid parental leave, initiatives focused on your well-being and discounted health insurance. You will also enjoy discounts on various products and services and be regularly recognised and rewarded for high performance. We are committed to your career development through our Capability Fingerprint, industry and partner training programs, special interest groups, and an AI-driven learning platform. No matter where you are in your career, we offer meaningful work and opportunities for growth.

 

NCS Australia is an equal-opportunity employer, and we take pride in our commitment to valuing and supporting our people and the communities we serve.We are dedicated to attracting, retaining and developing our people regardless of gender identity, ethnicity, sexual orientation, disability and age. Applications are encouraged from all sectors of the community and we strongly encourage applications from the Veterans, Aboriginal and/or Torres Strait Islander community.

At NCS Australia, we are committed to supporting adjustments throughout the recruitment and selection process, as well as during employment. We actively support and encourage people with disability to apply. 

 

Agencies:

We’ve got this. We request that you do not contact NCS employees outside of the Talent Acquisition team. NCS exclusively accepts resumes from agencies on our preferred supplier panel through the NCS Agency Portal. Agencies that submit resumes must have a valid fee agreement and be assigned to the particular requisition by the Talent Acquisition team. Any resumes that are submitted outside of this process will become the sole property of NCS. If a candidate is hired outside of this process, no fee or payment will be given.

 

Work rights and background checks: 

To be eligible for a position with us, applicants will need to have valid work rights for Australia and be willing to undergo a comprehensive background checking process, including probity and police checks

Contains bad word "".NET"". Skipping this job!
",Skipped,Not Available
4392890875,https://www.linkedin.com/jobs/view/4392890875,Pending,2026-04-01 20:33:43.576528,2026-04-02 12:33:43.645295,Found a Bad Word in About Job,"
About the job
This position is posted by Jobgether on behalf of a partner company. We are currently looking for a Senior Node.js Backend Developer in Australia.

This is a high-impact opportunity to build and scale backend systems powering a global digital platform at the forefront of financial innovation. In this role, you will design and develop robust, high-performance services that support real-time applications and large-scale user activity. You’ll work in a fast-paced, remote-first environment where autonomy, innovation, and technical excellence are highly valued. From architecting microservices to integrating cutting-edge technologies, your contributions will directly shape the reliability, scalability, and security of mission-critical systems. You’ll collaborate with a global team of experts, continuously learning and pushing technical boundaries. This role is ideal for engineers passionate about distributed systems, performance optimization, and building the future of digital finance.

Accountabilities

Design, develop, and maintain scalable backend services using Node.js, ensuring high performance and reliability across critical systems
Contribute to the architecture and implementation of microservices-based platforms supporting real-time applications and APIs
Build and deploy new features and products using agile methodologies, ensuring seamless user experiences
Optimize backend systems for scalability, low latency, and high availability as user demand grows
Implement strong security practices across all backend components to safeguard systems and user data
Collaborate with cross-functional teams to integrate databases, third-party services, and blockchain-related technologies
Continuously improve system performance, code quality, and development processes through best practices and innovation

Requirements

Strong expertise in Node.js and JavaScript, with experience building complex backend systems
Solid understanding of microservices architecture and distributed systems
Experience working with databases such as MySQL and MongoDB
Proven ability to contribute to large-scale, high-availability platforms
Good understanding of backend security principles and best practices
Ability to quickly learn and adapt to new technologies in a fast-evolving environment
Strong problem-solving skills, attention to detail, and ability to work independently in a remote setup
Nice to have: experience with blockchain integrations, Redis or message queues, and languages such as Ruby, Rust, or C++

Benefits

Fully remote work environment with flexible working hours
Competitive compensation package
Opportunities for continuous learning, mentorship, and career growth
Exposure to cutting-edge technologies and innovative projects
Collaborative, global team culture with strong knowledge-sharing practices
Regular team-building activities and social events (virtual and in-person)
High-impact role with the opportunity to shape next-generation digital platforms

Why Apply Through Jobgether?

We use an AI-powered matching process to ensure your application is reviewed quickly, objectively, and fairly against the role's core requirements. Our system identifies the top-fitting candidates, and this shortlist is then shared directly with the hiring company. The final decision and next steps (interviews, assessments) are managed by their internal team.

We appreciate your interest and wish you the best!

 Why Apply Through Jobgether?

Data Privacy Notice: By submitting your application, you acknowledge that Jobgether will process your personal data to evaluate your candidacy and share relevant information with the hiring employer. This processing is based on legitimate interest and pre-contractual measures under applicable data protection laws (including GDPR). You may exercise your rights (access, rectification, erasure, objection) at any time.

We may use artificial intelligence (AI) tools to support parts of the hiring process, such as reviewing applications, analyzing resumes, or assessing responses. These tools assist our recruitment team but do not replace human judgment. Final hiring decisions are ultimately made by humans. If you would like more information about how your data is processed, please contact us.

Contains bad word ""Ruby"". Skipping this job!
",Skipped,Not Available
4395250435,https://www.linkedin.com/jobs/view/4395250435,Pending,2026-04-02 11:36:47.389184,2026-04-02 12:33:47.430046,Required experience is high,"
About the job
What is DISCO?

DISCO is the industry standard for managing, organising and sharing music and other media. We make music and media workflow fast, intuitive and simple, directly connecting people and their work to save time. Today we count UMG, Sony, Warner Music, Netflix, Amazon among our customers, and over 250,000 people interact with DISCO each month. Our customers are super passionate about our product.

Location

Remote, Australia

Role

As a Staff Full Stack Engineer on the DISCO team, you will lead the design and implementation of robust and scalable architecture, deliver high quality customer features, and find elegant solutions to complex problems. Ultimately, you will have a huge impact on the architecture, design and user experience of our application.

This role is a great opportunity to employ strategic thinking, collaborate with cross-functional teams and help us build a culture of software engineering excellence. If you are looking to step into a Staff Engineer role, have a strong focus on front end technology and architecture, have a passion for quality, are an adaptive learner of new technologies and enjoy working collaboratively, this role is for you!

Responsibilities

Work with cross-functional teams to develop and implement secure, scalable features that deliver an industry leading experience for our customers
Take an active leadership role in our front end guild and work closely with our platform team to drive front end technical strategy and vision
Set the standard for high quality front end engineering and be a champion for accessibility, usability and performance excellence
Lead technical planning and discussions for complex projects with a focus on delivering value in predictable increments
Advocate for good agile process within the team and assist in writing clear, actionable, estimated epics and user stories
Implement shift-left security principles and participate in security initiatives
Lead incident management and emergency response
Champion initiatives to address existing technical debt and ensure new features are delivered complete including testing, observability and monitoring
Review and constructively critique pull requests
Be an inspiration and mentor for more junior members of the team

Requirements

10+ years of hands on engineering experience across front end and back end
Deep expertise in React.js and Next.js
Expertise using and implementing modern design systems and front end tooling
Expert understanding of frontend architecture in large scale apps, routing, code splitting, performance and bundle size optimisation, semantic markup, HTML5, CSS3 and CSS pre-processors
Comfortable using AI coding assistants (e.g. Claude Code, Codex, Cursor) to accelerate delivery and able to critically review AI-generated code
Full stack software engineering experience, ideally with Django, Python and PostgreSQL
Fluent in written and spoken English
The right to reside and work in Australia

It would be a bonus if you have:

A Bachelors and/or Masters in Computer Science or comparable knowledge and experience
Experience responding effectively to production issues of a heavily used application
Experience configuring or extending AI-assisted development workflows
Experience in DevOps and site reliability
Experience in a startup business
Experience working in a remote development team

Benefits

At DISCO, our employees have told us what benefits mean the most to them, and we've listened. So as a DISCO employee, you will work remotely from home (or a co-working space) whilst being supported by a friendly and fun international team.

In addition, you will receive:

A competitive salary in a fast growing startup
Office set up allowance
Annual learning and development allowance
Paid Parental Leave
A company laptop
Monthly internet allowance or reimbursement
Autonomy to manage your work flexibly in a high trust environment

To apply for this incredible position, please submit your resume and cover letter.

DISCO is an equal-opportunity employer. In addition, we will provide reasonable accommodations for individuals who have disabilities. If you require any reasonable accommodation to participate in the application process, please note this in your cover letter and we will reach out to you.

Please note that we do not accept unsolicited resumes from recruitment agencies.

Experience required 10 > Current Experience 7. Skipping this job!
",Skipped,Not Available
4392954197,https://www.linkedin.com/jobs/view/4392954197,resume.pdf,2026-03-31 12:33:51.394172,2026-04-02 12:34:12.555714,Problem in Easy Applying,cannot access local variable 'do_actions' where it is not associated with a value,Easy Applied,Not Available
4396861830,https://www.linkedin.com/jobs/view/4396861830,Pending,2026-04-02 11:49:42.447470,2026-04-02 12:34:47.606622,Probably didn't find Apply button or unable to switch tabs.,"Message: 
Stacktrace:
	undetected_chromedriver!GetHandleVerifier [0x6dcdf3+10b03]
	undetected_chromedriver!GetHandleVerifier [0x6dcf24+10c34]
	undetected_chromedriver!(No symbol) [0x4c2120]
	undetected_chromedriver!(No symbol) [0x50abca]
	undetected_chromedriver!(No symbol) [0x50ae6b]
	undetected_chromedriver!(No symbol) [0x54d0b2]
	undetected_chromedriver!(No symbol) [0x52db54]
	undetected_chromedriver!(No symbol) [0x54a9a5]
	undetected_chromedriver!(No symbol) [0x52d8a6]
	undetected_chromedriver!(No symbol) [0x500229]
	undetected_chromedriver!(No symbol) [0x500fe4]
	undetected_chromedriver!GetHandleVerifier [0x9448b9+2785c9]
	undetected_chromedriver!GetHandleVerifier [0x93feb5+273bc5]
	undetected_chromedriver!GetHandleVerifier [0x95e06b+291d7b]
	undetected_chromedriver!GetHandleVerifier [0x6f5cc8+299d8]
	undetected_chromedriver!GetHandleVerifier [0x6fd9fd+3170d]
	undetected_chromedriver!GetHandleVerifier [0x6e58c8+195d8]
	undetected_chromedriver!GetHandleVerifier [0x6e5a92+197a2]
	undetected_chromedriver!GetHandleVerifier [0x6cee9a+2baa]
	KERNEL32!BaseThreadInitThunk [0x778afcc9+19]
	ntdll!RtlGetAppContainerNamedObjectPath [0x77bf7c6e+11e]
	ntdll!RtlGetAppContainerNamedObjectPath [0x77bf7c3e+ee]
",Easy Applied,Not Available
