Job ID,Job Link,Resume Tried,Date listed,Date Tried,Assumed Reason,Stack Trace,External Job link,Screenshot Name
4396051916,https://www.linkedin.com/jobs/view/4396051916,Pending,Unknown,2026-04-03 10:17:15.276023,Found Blacklisted words in About Company,Failed to find an element with given classes,Skipped,Not Available
4397521025,https://www.linkedin.com/jobs/view/4397521025,Pending,Unknown,2026-04-03 10:17:21.073922,Found Blacklisted words in About Company,Failed to find an element with given classes,Skipped,Not Available
4393035642,https://www.linkedin.com/jobs/view/4393035642,Pending,2026-04-02 10:17:30.390213,2026-04-03 10:17:30.440040,Found a Bad Word in About Job,"
About the job
Location: Melton (Hybrid)

Salary: Up to £50,000

Working hours:09:00 – 17:30

The purpose of this role is to solve complex business problems and technical challenges through the design and development of software applications and services. This role will contribute directly towards exciting technology opportunities in the public health sector; specifically in general practice.

You will be responsible for building and maintaining critical components of our software infrastructure, ensuring high performance, reliability, and security. This role sits within the platform team.

Responsibilities

Design and Development

Contribute towards the design, develop, and implement high-performance, scalable, and maintainable applications and services
Develop APIs and other web services
Work with databases (relational and NoSQL) to implement data models
Contribute towards all phases of the software development lifecycle, from design and development through to testing, deployment and monitoring & alerting

Technical Leadership

Assist and unblock other members of the team where appropriate
Conduct code reviews and provide constructive feedback
Contribute towards the development of software engineering best practices and principles
Participate in architectural and design discussions
Stay abreast of the latest technologies and industry trends

Problem-Solving

Assist with the diagnosis and assessment of complex technical issues
Identify and contribute towards solutions designed to improve service or component security, performance, scalability, and reliability

Collaboration

Work closely with frontend engineers, product managers, and other stakeholders
Share ideas and prompt continuous improvement across the team

Quality Assurance & Compliance

Write unit tests and integration tests to ensure code quality
Participate in code reviews and ensure adherence to coding standards
Comply with the company's Health & Safety, Data Protection, Information Security, PCI & DSP policies and procedures.

Essential

Skills Required

Knowledge of the product development lifecycle
Considerable working experience with modern PHP including frameworks (e.g. Laravel)
Source control (e.g. GitLab)
Working experience with structured and unstructured databases (e.g. MySQL)
Knowledge of or working experience with Message Queues (RabbitMQ) & event driven architecture
Strong knowledge of software design patterns and object-oriented design principles
Working experience of unit test frameworks and test automation

Desired

Strong expertise in Agile methodologies (e.g. Scrum / Kanban)
DevOps tooling
Node.js
Healthcare industry experience (NHS)
VOIP call handling

Benefits

25 Days Holiday plus an additional day for your birthday/equivalent
Cycle to Work Scheme
Winter Flu Jabs
Free On-Site Parking
Learning and development budget with Professional Qualification Support
£1,000 employee referral bonus
Social benefits (paid social events)
Buy Holiday Scheme
Employee Assistance Program
Discount on Health Insurance
Annual Salary Review
Enhanced Company Sick Pay
Monthly pizza in the office (Hybrid employees) / coffee voucher (Remote employees)
SCG mobile benefit

SCG is proud to be an equal opportunities employer.

 We welcome applications from all parts of the community and are committed to upholding the principles of the Equality Act 2010.

We are committed to supporting applicants with disabilities. We will endeavour to make necessary adjustments to ensure a fair and accessible recruitment process

Contains bad word ""PHP"". Skipping this job!
",Skipped,Not Available
4394393533,https://www.linkedin.com/jobs/view/4394393533,Pending,2026-04-02 10:17:34.906876,2026-04-03 10:17:34.956709,Found a Bad Word in About Job,"
About the job
Salary $77,000 - $90,000 plus Super 
Full Time Employment

About Quantaco

Hospitality moves fast the tools should keep up too. At Quantaco, we’re building technology that empowers hospitality businesses to work smarter, not harder. No more disconnected systems that slow you down and create extra work.

Australia’s only locally owned and operated Hospitality Management System, designed to simplify processes, save time, and deliver actionable insights for venues of any size.

Our suite of software and service solutions is optimised to work best together but designed to function independently, delivering the actionable insights and financial reporting pubs, clubs, and restaurants need to thrive.

We empower businesses through expert accounting services, real-time reporting, and connected hospitality operations tools. These tools simplify work, save time, and help venues make decisions that drive growth whether it’s one venue or one hundred.

About The Role

The primary purpose of the Software Developer is to manage the design, installation, testing and maintenance of software systems for our Cooking the Books (CTB) design suite.

This role will be responsible for excellent technical support and the development of software improvements for existing CTB programs or providing entirely new programs for release to the market.

What You’ll Do

Maintain and improve the performance of CTB’s existing software and maintain its’ websites, in-house hardware and network systems

Test, maintain and recommend software improvements to ensure strong functionality and optimisation

Review current systems and identify ideas to improve system performance and impact availability, including cost proposals

Facilitate root cause analysis of system issues and faults;

Resolve complex technical design issues;

Test new products or software improvement releases in a controlled environment before going live;

Proactively seek to continuously understand the design characteristics offered by key competitors; developing design concepts that surpass competitors;

Work closely with analysts, designers and staff to ensure programs operate effectively;

Assist with the preparation of training manuals for users;

Analyse user requirements and convert requirements to design documents;

Provide comprehensive support to internal customers, including achieving resolution to outstanding problems or issues;

Develop and implement new software;

Assist the Marketing department with preparation of digital design collateral in line with CTB’s brand guidelines;

Automate repetitive technical tasks

About You

You are organised and a fast learner

You have a mature, design-led approach to software development

Integrity, honesty, trust, and respect

Self-motivated, but you love working in a team

Innovative and always looking for ways to improve

You’re an effective communicator, patient, and able to explain your point of view

Have a degree in Computer Science or equivalent

Have 2+ years’ experience in C# and.Net Framework;

Possess strong technical knowledge of web technologies (Javascript, CSS, HTML, etc.);

Are proficient in C#, ASP.NET MVC and Web API

Have knowledge of ASP.NET Core, ADO.net and ORMs (EntityFramework, Dapper.net, NHibernate)

Have knowledge of Databases: SQL Server, PostgreSQL (Store Procedures, and NoSql: Redis and MongoGB)

Are proficient in JavaScript frameworks: AngularJs, VueJs, and ExtJs

Possess knowledge of Microsoft Azure cloud platform (App Service, Service Bus, Service Fabric)

Have experience with Source Code Control: SVN and GIT

Have a demonstrated understanding of projects from the perspective of both client and busines

Possess proficient verbal and written communication skills;

Have effective time management skills and the ability to meet deadlines

Have the ability to solve problems by being collaborative, creative and analytical

Why Join Us?

At Quantaco, we’re passionate about building technology that solves real-world problems in hospitality. Our team is collaborative, curious, and committed to making an impact and we want you to grow with us.

Reward: Competitive salary + up to 20% discretionary performance bonus
Wellbeing: Hybrid working, birthday leave, and wellness discounts through our benefits portal
Culture: Fortnightly collaboration days, social calendar, team events, peer recognition, and a strong commitment to inclusion
Growth: Study assistance, a structured development framework, and our Women at Quantaco initiative to support diverse career progression

Ready to build the future of hospitality tech?

Apply now or reach out for a confidential chat. We’d love to meet you.

Quantaco Pty Ltd, Level 4 / 6 O'Connell Street Sydney NSW 2000

Contains bad word "".NET"". Skipping this job!
",Skipped,Not Available
4393295791,https://www.linkedin.com/jobs/view/4393295791,Pending,2026-04-01 10:17:49.480374,2026-04-03 10:17:49.559111,Required experience is high,"
About the job
Who We Are

Healthcare needs a better rhythm: one that keeps care continuous and deeply human. Heidi is building an AI Care Partner that works alongside clinicians to make that possible.

We’re a team of doctors, engineers, designers, researchers, and creatives building tools that help clinicians stay focused on what matters most: their patients.

In just 18 months, Heidi has given back more than 18 million hours to healthcare professionals — supporting 73 million patient visits in 116 countries. Today, more than two million patient visits each week are powered by Heidi worldwide.

Backed by nearly $100 million in funding, we’re growing in the US, UK, Canada, and Europe, partnering with leading health systems including the NHS, Beth Israel Lahey Health, and Monash Health.

The Role

At Heidi, the Solutions Engineer plays a critical role in unlocking and accelerating new deals and expanding Heidi's footprint with existing customers by serving as the primary technical point of contact throughout the sales cycle and expansion opportunities.

You’ll work closely with Account Executives, Product, and Engineering to navigate high-stakes enterprise requirements, including EMR integrations, custom clinical and data workflows, call system integrations, and security architecture. You’ll bring technical credibility, customer empathy, and a strong sense of ownership to every opportunity.

What You’ll Do

Technical Discovery & Qualification: Lead deep technical and clinical workflow discovery with prospects across Enterprise and Mid-Market segments to uncover integration requirements, EHR dependencies, security needs, and compliance considerations. 
Solution Design: Collaborate with Product and Engineering to design tailored solutions that align Heidi's AI platform capabilities to real-world healthcare workflows and customer requirements, while staying grounded in roadmap feasibility. 
Product Demos & Technical Presentations: Deliver compelling demos and architecture walkthroughs to technical stakeholders including IT, InfoSec, and engineering teams. 
RFP & Security Review Support: Own technical responses for RFPs, security assessments, and due diligence requests with precision and attention to detail. 
Deal Acceleration & Objection Handling: Proactively surface and resolve technical concerns that slow down the sales process — acting as a trusted technical advisor to the customer on security, compliance, AI governance, and EHR integration questions. 
Post-Sales Handoff & Feedback Loop: Partner with implementation teams to ensure a smooth transition post-signature by developing structured PRDs and handoff documents and provide feedback to product and engineering from the field. 

What We’re Looking For

3–6 years of experience in customer facing technical role: Solutions Engineering, Sales Engineering, Consulting preferably in SaaS, healthcare, or enterprise software
Experience leading and owning technical and workflow discovery sessions
Comfortable with ~ 25 - 50% travel for onsite customer engagements
Working knowledge of EHR/EMR systems and healthcare integration standards: HL7, FHIR, REST APIs
Ability to synthesize complexity and communicate clearly to both technical and non-technical audiences. 
Experience supporting sales cycles with healthcare providers, health systems, or EMR vendors
Comfortable operating autonomously in a fast-paced, early-stage environment where process is still being built
A trusted partner to Sales and a credible voice in the room with technical leaders on the customer side
Bonus: Background in healthtech, startups, or regulated environments; hands-on familiarity with clinical workflow design or field deployment in healthcare settings

The way we work

 Build to Last

We design for safety and reliability so clinicians, patients, and our teams can trust what we build every day.

 Own Your Practice

Ideas rise on merit, not title, and everyone shares responsibility for the standards we set together.

 Move Fast, Stay Steady

We move quickly but never at the cost of trust. Progress only matters if people can depend on what we make.

 Make Others Better

Honest feedback, steady support, and shared growth keep our teams improving together.

Why you will flourish with us 🚀?

In office to collaborate with like-minded professionals
Healthcare, Dental, Vision benefit options
401k with 3% match
Personal development budget of $500 per annum
Become an owner, with shares (equity) in the company, if Heidi wins, we all win
The rare chance to create a global impact as you immerse yourself in one of the leading healthtech startups
The opportunity to fast track your startup career!

Heidi is dedicated to creating an equitable, inclusive, and supportive work environment that brings people together from diverse backgrounds, experiences, and perspectives. Our strength is in our differences. We're proud to be an equal opportunity employer and welcome all applicants as we're committed to promoting a culture of opportunity for all.

Compensation Range: $145K - $165K

Experience required 6 > Current Experience 5. Skipping this job!
",Skipped,Not Available
4397161505,https://www.linkedin.com/jobs/view/4397161505,Pending,2026-04-03 04:19:14.467757,2026-04-03 10:19:14.519585,Found a Bad Word in About Job,"
About the job
AI-enabled. Human-driven. Shipping smarter every day.

Kogan.com is a pioneer of Australian eCommerce. Our vision is to use and build technology to deliver personalised, innovative and fast customer experiences. We are pragmatic in our solutions, scalable in our architecture, strong on quality and not afraid to fail fast. As a team, we are empowered to make change, share our views and build each other’s capability. We see where AI is heading and we are building towards it. We keep testing, learning and embedding new capabilities into our stack where they add value. It supports our engineers to move faster, make better decisions and focus on solving the right problems, increasing their impact.

We are looking for a skilled Technical Systems Engineer to join our technology team and take ownership of our SAP environment. This role is suited to someone with solid ERP technical experience who can work independently, drive system improvements, and bridge the gap between business needs and technical delivery.

You will be responsible for the design, development, and maintenance of our SAP platform, working closely with business stakeholders and the broader technology team to deliver robust, scalable solutions.

Why Kogan.com?

Our culture is unlike anywhere else and regardless of where you are in your career journey, we empower you to do your best work and have a big impact. Check us out https://devblog.kogan.com & https://goodteams.app/teams/kogan.com
Work with an incredible team to solve important challenges, helping to drive Australia and New Zealand’s eCommerce future
Your role has a lot of ownership, autonomy and little red tape. You’ll be empowered to achieve positive outcomes and your work will have a real impact
You’ll be at the forefront of the eCommerce industry and be part of a company that are the Pioneers of eCommerce in Australia
Be an Intrepreneur, playing a hands on role in shaping our strategy at our HQ
A range of employee benefits such as; complimentary Kogan First Membership, team exclusive discounts, Health & Wellness program, Learning & Development and Lunch & Learns, Hackathons, Team member referral program, Company and team events and celebrations, community engagement (volunteering) and extensive career development opportunities plus loads more!


In this role you will:

Develop and maintain SAP technical solutions including reports, interfaces, enhancements, and add-ons
Configure and optimise SAP modules to align with evolving business requirements
Lead the design and delivery of integrations between SAP and third-party systems
Translate business requirements into technical specifications and end-to-end solutions
Manage system changes through testing, documentation, and controlled deployment
Provide escalation support and troubleshoot complex technical issues across the SAP platform
Drive continuous improvement initiatives and contribute to platform roadmap planning


What You Bring:

Demonstrated hands-on experience with SAP configuration and technical development in a commercial environment
Strong proficiency in SQL 
Experience with system integrations and familiarity with .NET (C# or VB.NET) is advantageous
Proven ability to translate complex business problems into practical technical solutions
Strong communication skills with the ability to engage confidently with both technical and non-technical stakeholders
A proactive approach to problem-solving with the ability to manage competing priorities and deliver to deadlines


To find out more about how we work, our tech stack, processes and company culture, visit https://careers.kogan.com and https://devblog.kogan.com

Contains bad word "".NET"". Skipping this job!
",Skipped,Not Available
4395320617,https://www.linkedin.com/jobs/view/4395320617,Pending,2026-04-02 19:19:33.658443,2026-04-03 10:19:33.757113,Asking for Security clearance,"
About the job
SYPAQ is an industry leader in C4ISREW and autonomous systems integration, product development, and consulting services, with established engineering teams across projects in Canberra, Melbourne, Adelaide, Sydney, and Brisbane. Our rich history of partnering with the Australian Defence and National Security community continues to deliver a true sovereign industrial capability through advanced engineering and technology services and solutions.

Due to an increased demand within our business, SYPAQ are seeking a Systems Engineer to work on a Defence project based in Canberra. This can be a permanent role with SYPAQ or a long-term contract opportunity. This is an office-based role.

The Systems Engineer will work independently with the opportunity for reasonable autonomy and accountability for the achievement of outcomes of their work. In this role, you will deliver high-level engineering expertise to support the development and sustainment of critical Defence capabilities. You will play a key part in enabling advanced technology solutions that enhance operational effectiveness for Defence. Working within a complex and evolving environment, you will contribute to the design, integration, and continuous improvement of mission-critical systems, ensuring they meet stringent performance, safety, and operational requirements.

Key Responsibilities

Requirements Engineering: Elicit, analyse, and document system requirements, translating operational needs into technical specifications 
System Architecture Design: Develop high-level software-intensive system architectures, defining interfaces and ensuring interoperability across system-of-systems.
Integration & Validation: Lead verification and validation activities (testing) to confirm that software solutions meet performance criteria and Defence standards.
Model-Based Systems Engineering Apply digital engineering methodologies to model complex systems, supporting system design, analysis, and simulation.
Safety & Risk Management: Conduct system safety assessments, hazard analysis, and maintain safety logs in accordance with Defence standards.
Stakeholder Engagement: Collaborate with software development teams, project managers, and Defence stakeholders to resolve technical issues and manage project scope. 
Develop and review capability engineering requirements and procedural documentation and perform quality control on engineering documentation submitted to the Commonwealth of Australia (CoA) by various vendors.

About You

5+ years' experience working within Defence Systems & Software Engineering in a professional engineering organisation and/or government organisation.
Degree qualified Engineering or related Engineering discipline with relevant post-graduate experience
Excellent communications skills & interpersonal skills

This opportunity is open to Australian Citizens with TSPV or NV2 clearance.

If the opportunity is of interest, please APPLY or contact Ajita Mishra on 0487839703 or amishra@sypaq.com.au for further information.

Veterans are encouraged to apply

ACT License: ACTLHL00001973

QLD License: LHL02458-W2B3Z 

VIC License: VICLHL03075

SYPAQ’s Culture – Creating A World That Works

We take pride in being a 100% Australian family owned business. Our culture and values are important to us, hence we encourage people with same vision to come on board and collaborate for prolific outcomes.

We strongly believe in our VALUES

See something. Do something!
Achieve more together – share success
Courageous – be innovative! See the opportunity, manage the risk
Strive for excellence – master your craft
We are family – value honesty, respect and compassion

Staff Benefits

Generous professional development and study options
Loyalty leave scheme
ADF Reserve leave
Flexible work arrangements
Referral bonuses
Salary Sacrifice and novated leasing
Paid Personal Days

Found ""Clearance"" or ""Polygraph"". Skipping this job!
",Skipped,Not Available
4393506412,https://www.linkedin.com/jobs/view/4393506412,Pending,2026-04-01 10:19:38.657912,2026-04-03 10:19:38.717712,Asking for Security clearance,"
About the job
Amentum is a global leader in advanced engineering and innovative technology solutions, trusted by the United States and its allies to address their most significant and complex challenges in science, security and sustainability. Our people apply undaunted curiosity, relentless ambition and boundless imagination to challenge convention and drive progress. Our commitments are underpinned by the belief that safety, collaboration and well-being are integral to success. Headquartered in Chantilly, Virginia, we have approximately 50,000 employees in more than 70 countries across all 7 continents.

Are you seeking a career that offers a healthy work-life balance, a friendly company culture, and engagement with a supportive community?

We’ll inspire and empower you to deliver your best work so you can evolve, grow and succeed – today and into tomorrow. We offer an exciting range of opportunities to develop your career within a supportive and diverse team who always strive to do the right thing for our people, clients and communities.

People are our greatest asset, and we offer a competitive package to retain and attract the best talent.

Our values stand on a foundation of safety, integrity, inclusion and diversity. We put people at the heart of our business, and we genuinely believe that we all succeed by supporting one another through our culture of caring. We value positive mental health and a sense of belonging for all employees.

Amentum is proud to be an Equal Opportunity Employer, please refer to our Enterprise Agreement and www.fairwork.gov.au for more information.

Role Title: Systems Engineer

Role Description:

Support the maintenance and currency of project engineering plans and processes, including the Engineering Management Plan (EMP) and Test and Evaluation Master Plan (TEMP). 
Develop and coordinate engineering reports in accordance with project standards and direction. 
Support the engineering team to conduct reviews of technical data, including CDRLs, plans, Technical Instructions, RFIs, CCPs, and ECPs. 
Support the engineering team to undertake reviews of internally generated furnished data and the verification of furnished services. 
Liaise with stakeholders to develop and maintain project architecture documentation. 
Support the project team with document and configuration management activities. 
Review and develop project engineering decision records in support of authorised engineering decision making. 
Support the project at stakeholder meetings and working groups, as directed. 
Provide engineering input on current and emerging project risks to support project risk management activities. 
Support system integration and verification and validation (V&V) activities. 
Support the development of project requirements and the monitoring of system delivery against those requirements. 
Provide engineering input on design maturity and compliance against project requirements and standards. 
Support the engineering team in addressing system security and Reliability, Maintainability and Availability (RMA) requirements. 

Essential Requirements:

Eligible to access US Export Controlled (ITAR) information
Worked in complex projects
Engineering Qualification

Desirable Requirements:

Experience with Air Traffic Management

Required Security Clearance Level:  NV1

Location: Newcastle or Canberra

Weekly Hours: 40 hours

Compensation Details:

AUD

The compensation range or hourly rate listed for this position is provided as a good-faith estimate of what the company intends to offer for this role at the time this posting was issued. Actual compensation may vary based on factors such as job responsibilities, education, experience, skills, internal equity, market data, applicable collective bargaining agreements, and relevant laws.

Benefits Overview:

Our health and welfare benefits are designed to support you and your priorities. Offerings include:

Health, dental, and vision insurance
Paid time off and holidays
Retirement benefits (including 401(k) matching)
Educational reimbursement
Parental leave
Employee stock purchase plan
Tax-saving options
Disability and life insurance
Pet insurance

Note: Benefits may vary based on employment type, location, and applicable agreements. Positions governed by a Collective Bargaining Agreement (CBA), the McNamara-O'Hara Service Contract Act (SCA), or other employment contracts may include different provisions/benefits.

Original Posting:

03/31/2026 - Until Filled

Amentum anticipates this job requisition will remain open for at least three days, with a closing date no earlier than three days after the original posting. This timeline may change based on business needs.

Amentum is proud to be an Equal Opportunity Employer. Our hiring practices provide equal opportunity for employment without regard to race, sex, sexual orientation, pregnancy (including pregnancy, childbirth, breastfeeding, or medical conditions related to pregnancy, childbirth, or breastfeeding), age, ancestry, United States military or veteran status, color, religion, creed, marital or domestic partner status, medical condition, genetic information, national origin, citizenship status, low-income status, or mental or physical disability so long as the essential functions of the job can be performed with or without reasonable accommodation, or any other protected category under federal, state, or local law. Learn more about your rights under Federal laws and supplemental language at Labor Laws Posters.

Found ""Clearance"" or ""Polygraph"". Skipping this job!
",Skipped,Not Available
4397521203,https://www.linkedin.com/jobs/view/4397521203,Pending,2026-04-03 09:19:42.764227,2026-04-03 10:19:42.836982,Found a Bad Word in About Job,"
About the job
Permanent Opportunity

We are seeking a motivated Software Engineer I to join our team! The Software Engineer I is responsible for designing, coding, unit testing, documenting, refactoring, maintenance, and support of applications and systems within their team’s domain.

A Software Engineer I contributes to the team's delivery effort, and proactively seeks support and feedback in their search for more refined solutions and personal growth.

Some Of Their Key Responsibilities Include

Contributing to the analysis, design, coding and unit testing of applications in the team’s domain
Contributing to translating business requirements into appropriate technical solutions, striving for extensibility and maintainability
Completing work assignments whilst meeting quality, security and performance standards, as well as accepting and incorporating feedback from peers to refine and improve as needed
Engaging in code reviews to ensure quality, standards alignment and enable knowledge sharing
Embracing the cross-functional team mindset by learning and contributing to all aspects of the end-to-end delivery process, e.g. discovery, user story writing, testing, release, PVT, support etc.

What are we looking for?

Experience in software development ideally with a focus on .NET technologies (C#, ASP.NET, .NET Core)
Experience with SQL databases; knowledge of other persistence technologies a bonus
Experience in designing and implementing RESTful APIs; exposure to microservice architecture beneficial
Experience working with cloud platforms (preferably AWS)
Good communication skills and a demonstrated ability to work effectively in a team environment
Demonstrated ability to identify and troubleshoot issues
Ability to write clear and detailed technical documentation
Enthusiastic about knowledge sharing and mentoring others

Our Promise to Our People

Benefits

We are passionate about our core values of Customer First, We Care, One Team, and Results Driven, which define how we approach our work. We recognise that our colleagues are the key to our success. That's why you can expect to be rewarded for the hard work you put in through job satisfaction, career development and the fantastic range of benefits we offer:

Fantastic employee benefits including flexi days, flexible working, annual $1200 travel/parking allowance & more.

State of the art building facilities including a dedicated & subsidised on-site company café (weekly free lunch) & on-site gym
Health & well-being initiatives and programs
Opportunity to take part in in-house leadership & emotional intelligence workshops
Quarterly award functions and a grand annual conference to recognise our people
Retail discounts e.g. movie tickets, Zoo passes, live shows + more
Morsl market (a fully automated self-serve, food and drink marketplace with a wide variety of meals, snacks and drinks)

Who We Are

Greenstone distributes insurance products under trusted brands in Australia, New Zealand and Canada. Some of our brands are Buddy, Australian Seniors, New Zealand Seniors, OneChoice, Real Insurance, SPCA Pet Insurance, North Cover, FiftyUp, Guardian and Choosi.

We are the leading distributor of direct Insurance products in the Australian insurance market. Since launching into the Financial Services sector in 2007, Greenstone has experienced a commanding volume of growth being recognised for our credible brands, customer focused values and people-driven work culture.

We are passionate about our core values, which contribute towards the positive culture that supports our employees, our customers and our community.

Location

Great central location in Norwest Business Park, Norwest, only a short walk from Norwest Metro station and also direct bus access from Parramatta and Blacktown.

Apply Now

If this role interests you, we would love to hear from you!

Contains bad word "".NET"". Skipping this job!
",Skipped,Not Available
4395245913,https://www.linkedin.com/jobs/view/4395245913,Pending,2026-04-02 17:19:47.420528,2026-04-03 10:19:47.521185,Required experience is high,"
About the job
What is DISCO?

DISCO is the industry standard for managing, organising and sharing music and other media. We make music and media workflow fast, intuitive and simple, directly connecting people and their work to save time. Today we count UMG, Sony, Warner Music, Netflix, Amazon among our customers, and over 250,000 people interact with DISCO each month. Our customers are super passionate about our product.

Location

Remote, Australia

Role

As a Staff Full Stack Engineer on the DISCO team, you will lead the design and implementation of robust and scalable architecture, deliver high quality customer features, and find elegant solutions to complex problems. Ultimately, you will have a huge impact on the architecture, design and user experience of our application.

This role is a great opportunity to employ strategic thinking, collaborate with cross-functional teams and help us build a culture of software engineering excellence. If you are looking to step into a Staff Engineer role, have a strong focus on front end technology and architecture, have a passion for quality, are an adaptive learner of new technologies and enjoy working collaboratively, this role is for you!

Responsibilities

Work with cross-functional teams to develop and implement secure, scalable features that deliver an industry leading experience for our customers
Take an active leadership role in our front end guild and work closely with our platform team to drive front end technical strategy and vision
Set the standard for high quality front end engineering and be a champion for accessibility, usability and performance excellence
Lead technical planning and discussions for complex projects with a focus on delivering value in predictable increments
Advocate for good agile process within the team and assist in writing clear, actionable, estimated epics and user stories
Implement shift-left security principles and participate in security initiatives
Lead incident management and emergency response
Champion initiatives to address existing technical debt and ensure new features are delivered complete including testing, observability and monitoring
Review and constructively critique pull requests
Be an inspiration and mentor for more junior members of the team

Requirements

10+ years of hands on engineering experience across front end and back end
Deep expertise in React.js and Next.js
Expertise using and implementing modern design systems and front end tooling
Expert understanding of frontend architecture in large scale apps, routing, code splitting, performance and bundle size optimisation, semantic markup, HTML5, CSS3 and CSS pre-processors
Comfortable using AI coding assistants (e.g. Claude Code, Codex, Cursor) to accelerate delivery and able to critically review AI-generated code
Full stack software engineering experience, ideally with Django, Python and PostgreSQL
Fluent in written and spoken English
The right to reside and work in Australia

It would be a bonus if you have:

A Bachelors and/or Masters in Computer Science or comparable knowledge and experience
Experience responding effectively to production issues of a heavily used application
Experience configuring or extending AI-assisted development workflows
Experience in DevOps and site reliability
Experience in a startup business
Experience working in a remote development team

Benefits

At DISCO, our employees have told us what benefits mean the most to them, and we've listened. So as a DISCO employee, you will work remotely from home (or a co-working space) whilst being supported by a friendly and fun international team.

In addition, you will receive:

A competitive salary in a fast growing startup
Office set up allowance
Annual learning and development allowance
Paid Parental Leave
A company laptop
Monthly internet allowance or reimbursement
Autonomy to manage your work flexibly in a high trust environment

To apply for this incredible position, please submit your resume and cover letter.

DISCO is an equal-opportunity employer. In addition, we will provide reasonable accommodations for individuals who have disabilities. If you require any reasonable accommodation to participate in the application process, please note this in your cover letter and we will reach out to you.

Please note that we do not accept unsolicited resumes from recruitment agencies.

Experience required 10 > Current Experience 7. Skipping this job!
",Skipped,Not Available
